"","STRUCTURE_NUMBER_008","YEAR_BUILT_027","COUNTY_CODE_003","DECK_COND_058","LAT_016","LONG_017","TOTAL_IMP_COST_096"
"215","B03003500000000",1971,5,"6",45215711,91471341,0
"216","B03003600000000",1973,5,"6",45192546,91385941,0
"217","B03003700000000",1972,5,"5",45234461,91453008,0
"218","B03003800000000",1972,5,"5",45234238,91452710,0
"219","B03003900000000",1973,5,"6",45242949,91454696,0
"220","B03004000000000",1973,5,"5",45242780,91454381,0
"221","B03004100000000",1977,5,"7",45252209,91454915,0
"222","B03004200000000",1977,5,"6",45264646,91453547,0
"223","B03004300000000",1977,5,"6",45264407,91453345,0
"224","B03004400000000",1977,5,"6",45282448,91453318,0
"225","B03004500000000",1977,5,"6",45282281,91453066,0
"226","B03004600000000",1977,5,"6",45294188,91455194,0
"227","B03004700000000",1977,5,"7",45300766,91455080,0
"228","B03004800000000",1977,5,"5",45303457,91454331,0
"229","B03004900000000",1977,5,"5",45303256,91454174,0
"230","B03005000000000",1976,5,"5",45315181,91453687,0
"231","B03005100000000",1976,5,"5",45315052,91453429,0
"232","B03005200000000",1976,5,"6",45331420,91455809,0
"233","B03005300000000",1976,5,"6",45331307,91455222,0
"234","B03005400000000",1977,5,"7",45264031,91453611,0
"235","B03005500000000",1977,5,"7",45340164,91455363,0
"236","B03005600000000",1977,5,"6",45343183,91453998,0
"237","B03005700000000",1984,5,"5",45342453,91454099,0
"238","B03005900000000",1973,5,"7",45233718,91471015,0
"239","B03006000000000",1973,5,"6",45234275,91455710,0
"240","B03006100000000",1973,5,"7",45234115,91455872,0
"241","B03006200000000",1973,5,"7",45234930,91442852,0
"242","B03006300000000",1973,5,"7",45234753,91442934,0
"243","B03006600000000",1976,5,"N",45324508,91454943,0
"244","B03006700000000",1976,5,"N",45324508,91454542,0
"245","B03006800000000",1976,5,"7",45172136,91422313,0
"246","B03006900000000",1976,5,"7",45171723,91513506,0
"247","B03007000000000",1976,5,"6",45134842,91525013,0
"248","B03007200000000",1979,5,"5",45243458,92010292,0
"249","B03007300000000",1979,5,"5",45243477,92001676,0
"250","B03007400000000",1981,5,"7",45282212,91442823,0
"251","B03007500000000",1979,5,"7",45223629,91482440,0
"252","B03007600000000",1980,5,"6",45145241,91432736,0
"253","B03007700000000",1979,5,"7",0,0,0
"254","B03007800000000",1986,5,"8",45335910,91372743,0
"255","B03007900000000",1987,5,"6",45314866,91421180,0
"256","B03008000000000",1982,5,"7",45363517,91462418,0
"257","B03008100000000",1981,5,"7",45330752,91391760,0
"258","B03008200000000",1983,5,"8",45135534,91483448,0
"259","B03008300000000",1983,5,"7",45235526,91501612,0
"260","B03008400000000",1983,5,"7",45201840,91595136,0
"261","B03008500000000",1984,5,"6",45211243,91384420,0
"262","B03008600000000",1983,5,"7",45264247,91392210,0
"263","B03008700000000",1983,5,"N",45242894,91391109,0
"264","B03008800000000",1983,5,"N",45242876,91331699,0
"265","B03009100000000",1986,5,"7",45210329,91444547,0
"266","B03009200000000",1985,5,"7",45321540,91405928,0
"267","B03009300000000",1985,5,"7",45242140,91512956,0
"268","B03009400000000",1985,5,"7",45242280,91513025,0
"269","B03009500000000",1985,5,"N",45312187,91523403,0
"270","B03009600000000",1987,5,"6",45352276,91360471,0
"271","B03009700000000",1986,5,"7",45215049,92065432,0
"272","B03009800000000",1986,5,"8",45301041,91394630,0
"273","B03009900000000",1986,5,"8",45312035,91383040,0
"274","B03010000000000",1986,5,"7",45272360,91440625,0
"275","B03010100000000",1986,5,"7",45251720,92015830,0
"276","B03010200000000",1988,5,"7",45210636,91531916,0
"277","B03010300000000",1988,5,"7",45213224,91541341,0
"278","B03010400000000",1988,5,"8",45162931,91345722,0
"279","B03010500000000",1988,5,"7",45173148,91364637,0
"280","B03010600000000",1988,5,"8",45323249,91550455,0
"281","B03010700000000",1988,5,"7",45264211,91455548,0
"282","B03010800000000",1989,5,"7",45191850,92092470,0
"283","B03011000000000",1988,5,"7",45165031,91583340,0
"284","B03011100000000",1988,5,"7",45145400,91555740,0
"285","B03011200000000",1990,5,"7",45145320,91584610,0
"286","B03011300000000",1990,5,"7",45240434,91502129,0
"287","B03011500000000",1996,5,"7",45314901,91441403,0
"288","B03011600000000",1992,5,"7",45294059,91442310,0
"289","B03011700000000",1990,5,"8",45282280,91380426,0
"290","B03011800000000",1991,5,"8",45241650,91423838,0
"291","B03011900000000",1994,5,"N",45294048,92011930,0
"292","B03012000000000",1991,5,"7",45262129,91455880,0
"293","B03012100000000",1991,5,"7",0,0,0
"294","B03012200000000",1991,5,"8",45285210,91575342,0
"295","B03012500000000",1993,5,"7",45153253,91490842,0
"296","B03012600000000",1994,5,"8",45340144,91461341,0
"297","B03012700000000",1994,5,"6",45363640,91402519,0
"298","B03012900000000",1993,5,"8",45202624,91461623,0
"299","B03013000000000",1993,5,"7",45122732,91370524,0
"300","B03013100000000",1993,5,"8",45192534,91594529,0
"301","B03013200000000",1994,5,"7",45341630,91394525,0
"302","B03013300000000",1994,5,"8",45275960,91575212,0
"303","B03013400000000",1997,5,"7",45242915,91393843,0
"304","B03013600000000",1997,5,"8",45191543,91351749,0
"305","B03013700000000",1997,5,"8",45230860,91392844,0
"306","B03013800000000",1997,5,"8",45162234,91414225,0
"307","B03013900000000",2002,5,"8",45151944,92001424,0
"308","B03014000000000",1998,5,"8",45224659,91531341,0
"309","B03014100000000",1999,5,"7",45240011,91501258,0
"310","B03014200000000",1997,5,"8",45153670,92081200,211
"311","B03014400000000",1994,5,"N",45270636,91482722,0
"312","B03014500000000",1999,5,"7",45282244,91444438,0
"313","B03014600000000",2000,5,"8",45184717,91385118,0
"314","B03014700000000",2001,5,"8",45361240,91462429,0
"315","B03014800000000",2001,5,"8",45125747,92022020,0
"316","B03014900000000",2001,5,"7",45191724,91412942,0
"317","B03015000000000",2000,5,"8",45162613,91494680,0
"318","B03015100000000",2001,5,"9",45193217,91345512,0
"319","B03015200000000",2001,5,"8",45145125,91415537,0
"320","B03015700000000",2002,5,"8",45295714,91533022,0
"321","B03015800000000",2001,5,"7",45191348,91555140,0
"322","B03015900000000",2002,5,"8",45215819,91522740,0
"323","B03017000000000",1999,5,"7",45214142,91395140,0
"324","B03017200000000",2004,5,"7",45153242,91492042,0
"325","B03017300000000",2004,5,"9",45211050,92043329,0
"326","B03017400000000",2001,5,"8",45275736,91383423,0
"327","B03017700000000",2004,5,"N",45124380,91012450,0
"328","B03017800000000",2004,5,"N",45295910,91371720,0
"329","B03018000000000",2010,5,"9",0,0,0
"330","B03018100000000",2006,5,"8",45232349,91332700,0
"331","B03018200000000",2010,5,"8",45275826,91531529,0
"332","B03018300000000",2006,5,"9",45261446,91481323,0
"333","B03018400000000",2007,5,"8",45275924,92001449,0
"334","B03018500000000",2006,5,"8",45372850,91403828,0
"335","B03018700000000",2012,5,"9",45293688,91431138,0
"336","B03018800000000",2007,5,"8",45321146,91445210,0
"337","B03019100000000",2008,5,"9",45253455,91400970,0
"338","B03019200000000",2006,5,"N",45172313,91471749,0
"339","B03019500000000",2012,5,"8",45363800,91460500,0
"340","B03019600000000",2013,5,"8",45363770,91460410,0
"341","B03019800000000",2013,5,"N",45281900,91505020,0
"342","B03072500000000",1928,5,"5",45165035,91583322,763
"343","B03072800000000",1931,5,"N",45361232,91462158,0
"344","B03072900000000",1931,5,"N",45363929,91463116,0
"345","B04000800000000",1953,7,"5",46365062,90562333,242
"346","B04000900000000",1954,7,"5",46470677,90515048,0
"347","B04001000000000",1954,7,"6",46140477,91303822,0
"348","B04001100000000",1956,7,"5",46535703,90572223,0
"349","B04001400000000",1959,7,"6",46181086,91302142,0
"350","B04001500000000",1961,7,"5",46335551,91252423,618
"351","B04001600000000",1964,7,"8",46121600,91042500,0
"352","B04001700000000",1966,7,"8",46111777,91190778,0
"353","B04001800000000",1971,7,"6",46135228,91051151,0
"354","B04001900000000",1972,7,"4",46302889,91044454,307
"355","B04002000000000",1976,7,"5",46272528,91142468,0
"356","B04002100000000",1975,7,"6",46342549,90581656,0
"357","B04002200000000",1977,7,"4",46344264,90575785,865
"358","B04002300000000",1976,7,"5",46390867,91230969,0
"359","B04002400000000",1976,7,"5",46392278,91230995,0
"360","B04002500000000",1977,7,"8",46451690,90532524,0
"361","B04002600000000",1978,7,"N",46372335,91230697,0
"362","B04002700000000",1980,7,"8",46400654,90545907,0
"363","B04002800000000",1980,7,"N",46283534,91030175,0
"364","B04002900000000",1981,7,"N",46381149,90552077,330
"365","B04003000000000",1981,7,"7",46243580,90564495,0
"366","B04003100000000",1995,7,"6",46511649,91052910,0
"367","B04003200000000",1981,7,"8",46391836,91264871,0
"368","B04003300000000",1975,7,"N",46351874,90571735,232
"369","B04003400000000",1982,7,"N",46470630,91144624,0
"370","B04003500000000",1987,7,"6",46254613,91030215,0
"371","B04003600000000",1984,7,"6",46245081,91051821,0
"372","B04003700000000",1981,7,"N",46355184,90571765,0
"373","B04003800000000",1984,7,"7",46393204,91280057,0
"374","B04003900000000",1984,7,"7",46380031,91284021,0
"375","B04004000000000",1984,7,"7",46422877,90591700,0
"376","B04004300000000",1985,7,"5",46122217,91133973,0
"377","B04004400000000",1987,7,"6",46341573,90570839,0
"378","B04004600000000",1987,7,"7",46461638,91203701,0
"379","B04004700000000",2000,7,"6",46132781,91085872,0
"380","B04004800000000",1987,7,"N",46461715,91271763,0
"381","B04004900000000",1990,7,"6",46472859,91230669,0
"382","B04005000000000",1988,7,"7",46470962,91231749,0
"383","B04005200000000",1990,7,"7",46241555,91030390,0
"384","B04005300000000",1988,7,"7",46470410,91230186,0
"385","B04005400000000",1990,7,"7",46261616,91013406,0
"386","B04005500000000",1990,7,"7",46222144,91052796,0
"387","B04005700000000",1991,7,"7",46351526,90564131,0
"388","B04005800000000",1991,7,"6",46351008,90555547,0
"389","B04006100000000",1992,7,"6",46495749,91155918,0
"390","B04006200000000",1992,7,"6",46465821,91222529,0
"391","B04006300000000",1992,7,"7",46512568,91060559,0
"392","B04006500000000",1992,7,"7",46403470,90592263,0
"393","B04006600000000",1992,7,"7",46261001,91103584,0
"394","B04006700000000",1991,7,"7",46353987,90581463,0
"395","B04006900000000",1992,7,"7",46471359,91230123,0
"396","B04007500000000",1995,7,"7",46462961,91204529,0
"397","B04007700000000",1954,7,"7",46354158,90571796,0
"398","B04007800000000",1999,7,"7",46494740,91160225,0
"399","B04008200000000",2000,7,"6",46423073,91265417,0
"400","B04008600000000",1999,7,"7",46212043,90584223,0
"401","B04008700000000",2000,7,"7",46452889,91302476,0
"402","B04008800000000",1998,7,"7",46454814,91290996,0
"403","B04009000000000",2000,7,"7",46502630,91104801,0
"404","B04009100000000",1999,7,"7",46120250,91144723,0
"405","B04009600000000",2014,7,"9",46231851,91071809,0
"406","B04009700000000",2002,7,"7",46451484,91311855,0
"407","B04009800000000",2003,7,"6",46435400,90524200,0
"408","B04009900000000",2003,7,"5",46440197,90524397,0
"409","B04010000000000",2004,7,"7",46361573,91250127,0
"410","B04010100000000",2004,7,"8",46463042,91240645,0
"411","B04010300000000",2006,7,"8",46412280,91255242,0
"412","B04010400000000",2004,7,"8",46463017,91233794,0
"413","B04010600000000",2008,7,"7",46325585,91034354,0
"414","B04010700000000",2007,7,"7",46423603,90553254,0
"415","B04010800000000",2005,7,"7",46370802,91282501,0
"416","B04010900000000",2007,7,"7",46135228,91051151,0
"417","B04011000000000",2005,7,"N",46291271,91105987,0
"418","B04022700000000",1940,7,"5",46321422,91031109,590
"419","B04041300000000",1938,7,"6",46171327,91324060,197
"420","B05000200000000",1948,9,"6",44375248,88093812,0
"421","B05000500000000",1949,9,"6",44265249,87583239,375
"422","B05000800000000",1948,9,"4",44205761,87471988,425
"423","B05000900000000",1952,9,"3",44292987,88010097,1038
"424","B05001000000000",1948,9,"4",44181973,88101756,427
"425","B05001100000000",1949,9,"4",44384675,88070505,332
"426","B05001500000000",1953,9,"6",44380547,88020353,422
"427","B05001600000000",1952,9,"5",44275767,88040993,0
"428","B05001700000000",1952,9,"N",44285702,88032325,0
"429","B05001800000000",1955,9,"6",44302466,88015772,0
"430","B05001900000000",1955,9,"8",44303200,88015136,0
"431","B05002200000000",1954,9,"N",44234338,87521070,0
"432","B05002600000000",1968,9,"5",44320081,88074534,0
"433","B05002900000000",1955,9,"N",44333258,88073944,0
"434","B05003200000000",1955,9,"N",44331249,88065112,0
"435","B05003300000000",1957,9,"4",44203600,87494200,811
"436","B05003400000000",1956,9,"5",44275615,88040947,0
"437","B05003500000000",1956,9,"N",44285597,88032190,0
"438","B05003600000000",1956,9,"5",44375790,88025799,0
"439","B05003800000000",1957,9,"4",44203508,87493628,698
"440","B05004100000000",1957,9,"7",44333841,87525115,0
"441","B05004300000000",1962,9,"8",44255709,88034607,0
"442","B05004400000000",1957,9,"6",44191692,87531548,0
"443","B05004600000000",1959,9,"6",44233563,88035323,0
"444","B05004800000000",1959,9,"5",44200593,87493583,0
"445","B05004900000000",1960,9,"7",44293864,87523752,0
"446","B05005200000000",1962,9,"6",44260417,88033302,1869
"447","B05005300000000",1963,9,"5",44211846,88111641,0
"448","B05005400000000",1962,9,"5",44270855,87585004,0
"449","B05005800000000",1962,9,"6",44302652,87580420,0
"450","B05007200000000",1970,9,"8",44375509,88025236,0
"451","B05007300000000",1970,9,"7",44375247,88025170,0
"452","B05007400000000",1988,9,"7",44223375,88052446,0
"453","B05007600000000",1970,9,"5",44380731,88024668,0
"454","B05007700000000",1970,9,"6",44380592,88024520,0
"455","B05007800000000",1970,9,"6",44382499,88024883,0
"456","B05007900000000",1970,9,"6",44382506,88024685,0
"457","B05008000000000",1987,9,"6",44211800,88111800,0
"458","B05008100000000",1988,9,"N",44351391,88120607,0
"459","B05010500000000",1965,9,"7",44264241,88055563,394
"460","B05010800000000",1975,9,"7",44284060,88033690,0
"461","B05011100000000",1974,9,"N",44285058,88043746,0
"462","B05011200000000",1970,9,"N",44175855,87572999,0
"463","B05011300000000",1970,9,"N",44225062,87485192,0
"464","B05011800000000",1969,9,"N",44161205,88090839,230
"465","B05011900000000",1974,9,"7",44272255,88051238,0
"466","B05012000000000",1975,9,"7",44271642,88051610,1447
"467","B05012100000000",1975,9,"8",44284200,88033600,0
"468","B05012300000000",1966,9,"6",44334531,88044213,0
"469","B05012500000000",1998,9,"7",44173616,87565801,0
"470","B05012600000000",2004,9,"7",44321268,87470774,0
"471","B05012700000000",1968,9,"5",44335678,88035301,0
"472","B05012800000000",1967,9,"N",44342283,88035044,0
"473","B05013100000000",1971,9,"5",44371293,88030149,0
"474","B05013400010000",1973,9,"6",44304220,88014741,0
"475","B05013400020000",1973,9,"6",44304000,88014151,0
"476","B05013400030000",1973,9,"7",44303868,88013509,0
"477","B05013400040000",1973,9,"7",44303919,88014062,0
"478","B05013400050000",1973,9,"6",44303759,88013586,0
"479","B05013400060000",1973,9,"6",44303627,88013194,0
"480","B05013400070000",1973,9,"6",44303533,88013004,0
"481","B05013400080000",1973,9,"7",44303803,88013078,0
"482","B05013400090000",1973,9,"7",44303521,88012586,0
"483","B05013400100000",1973,9,"7",44303583,88013545,0
"484","B05013400110000",1973,9,"7",44303625,88013312,0
"485","B05013400120000",1973,9,"6",44303410,88012636,0
"486","B05013400130000",1973,9,"6",44303192,88012068,0
"487","B05013400140000",1973,9,"6",44302970,88011487,0
"488","B05013400150000",1973,9,"7",44302800,88011061,0
"489","B05013400160000",1973,9,"6",44302808,88010747,0
"490","B05013400170000",1973,9,"6",44302759,88010483,0
